Word,Frequency
#Ad,1
Garmi,1
ka,2
Mausam,1
aa,1
gaya,1
hai,1
toh,2
matlab,1
naya,1
ice,2
cream,4
flavour,1
try,1
karna,1
chahiye,1
Tried,1
the,74
kwalitywalls,1
new,2
Hazelnut,1
Chocolate,1
Ice,1
and,62
it,18
has,1
just,8
right,3
amount,1
of,48
sweetness,1
Go,1
check,2
out,3
Order,2
yours,1
on,18
Swiggy,1
or,4
get,4
from,10
your,12
nearest,2
Kwality,1
Wall,1
s,14
freezer,1
#CraftedForIndulgence,1
#IceCream,1
#Hazelnuts,1
#Chocolate,1
#hazelnutchocolate,1
#dilsefoodie,9
24,2
Haree,1
Mirch,1
And,4
15,1
Nimbu,1
Daal,1
Ke,5
Banaye,1
Hai,1
Chacha,1
Bhatija,1
Special,2
Chole,4
Kulche,2
Thanks,1
To,3
agraeaters,1
For,1
Helping,1
Us,2
Exploring,2
Agra,1
Street,1
Food,1
#food,9
#streetfood,2
#cholekulche,1
On,1
The,12
Occasion,1
Of,4
75th,1
Independence,1
Day,1
ministryofculturegoi,1
Awarded,1
As,1
One,1
75,1
Cultural,1
Brand,1
Ambassador,1
India,3
At,4
amritmahotsav,1
We,17
Can,2
t,1
Express,1
Our,10
Feelings,1
In,2
Words,1
But,1
Will,5
Promise,1
You,4
Guys,2
Keep,1
Help,1
Local,1
Vendors,1
Government,1
Is,2
Doing,1
A,8
Campaign,1
#harghartiranga,1
So,1
I,16
Hoist,1
Tiranga,1
My,1
Place,2
Tomorrow,1
Also,1
Participate,1
#75For75,1
#amritmohatsav,1
#DilSeDesi,1
3,2
Saal,1
Bartan,1
Dhone,1
Baad,1
Sikha,1
Ka,2
Kaam,2
Then,1
Khud,1
Shuru,1
Kiya,1
#amritsar,2
#kulcha,1
#kalashah,1
Rangeela,1
Egg,1
Corner,1
LOLO,1
POPO,1
#egg,2
#corner,1
#lolopopo,1
#omelette,2
Old,1
Monk,1
Wala,1
Bater,1
bubby_fish_chicken_corner,1
Amritsar,1
#bater,1
#foodfood,1
Try,1
Not,1
Laugh,1
Pavit,1
Tasting,1
Lemon,1
First,2
Time,1
#lemon,1
#baby,1
#firstlemon,1
Guess,1
#ghaziabad,1
Badlu,1
Garma,1
Garam,1
Paranthe,1
Chandigarh,1
#parantha,1
#breakfast,1
galaxypizza,1
in,32
they,2
serve,1
New,3
York,3
style,2
pizzas,3
that,11
are,9
simple,1
yet,1
extraordinary,1
Their,1
all,5
about,4
using,2
fresh,4
high,1
quality,1
ingredients,2
crust,2
is,20
both,2
chewy,1
full,1
flavor,2
sauce,1
lively,1
toppings,1
generously,1
satisfying,3
What,3
makes,1
them,2
special,1
our,4
unique,2
Style,1
This,4
for,26
people,1
who,2
like,11
crispier,1
chewier,1
crusts,1
breads,1
Sourdough,1
They,2
have,4
a,54
wide,1
range,1
gourmet,1
delicious,4
takes,1
classics,1
innovations,1
now,4
their,5
outlets,1
Lajpat,1
Gurugram,2
Winter,1
festivities,1
knocking,1
with,23
Lohri,3
around,1
corner,1
From,5
scrumptious,1
treats,1
peanuts,1
gur,1
til,1
to,33
mouthwatering,1
savories,1
vibes,1
air,1
Here,3
list,2
places,2
order,1
delights,1
Sip,1
into,5
200,2
years,2
tradition,1
beefeatergin,1
timeless,1
spirit,2
crafted,2
centuries,1
old,1
recipe,1
Immerse,4
yourself,4
versatility,1
this,15
perfectly,1
blended,2
gin,1
suitable,1
enthusiasts,1
first,1
time,5
sippers,1
alike,1
Uncover,1
British,2
history,2
behind,1
Beefeater,1
at,23
Gin,7
Explorers,4
Club,4
2024,6
20th,3
21st,3
January,2
Jio,3
World,2
Garden,3
Mumbai,5
Buy,1
early,3
bird,3
tickets,3
taste,9
heritage,1
Link,2
bio,4
#GinExplorersClub,3
#GinOClock,3
Discover,1
artistry,3
KI,1
NO,1
BI,1
Japanese,2
symphony,3
flavours,1
meticulously,1
distilled,1
Kyoto,1
With,1
six,1
distinctive,1
elements,1
Base,1
